Id,Item no,Name,Disposal rate,Energy,Energy juel,Water,Protein,Protein with amino,Fat,Triacylglycerol,Carbohydrate,Ash,Na,K,Ca,Mg,P,Fe,Zn,Cu,Mn,I,Se,Cr,Mo,Retinol,Alpha carotene,Beta carotene,Beta cryptoxanthin,Beta carotene equivalents,Retinol equivalents,Vitamin d,Alpha tocopherol,Beta tocopherol,Gammma tocopherol,Delta tocopherol,Vitamin k,Vitamin b1,Vitamin b2,Niacin,Vitamin b6,Vitamin b12,Folic acid,Pantothenic acid,Biotin,Vitamin c,Saturated fatty acid,Monounsaturated fatty acid,Polyunsaturated fatty acid,Cholesterol,Soluble dietary fiber,Insoluble dietary fiber,Dietary fiber,Salt equivalents,Weight change rate,Created at,Updated at
1678,18006,"
      [食品番号]食品群名/食品名：[18006] 調理加工食品類/コロッケ/クリームタイプ、フライ用、冷凍
    ",0.0,159.0,665.0,67.0,4.7,0.0,6.3,0.0,20.9,1.1,270.0,160.0,43.0,0.0,63.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,8.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,2015-08-30 07:12:51 UTC,2015-08-30 07:12:51 UTC
1677,18005,"
      [食品番号]食品群名/食品名：[18005] 調理加工食品類/コーンクリームスープ/レトルトパウチ
    ",0.0,86.0,360.0,83.6,2.0,0.0,4.8,0.0,8.6,1.0,280.0,120.0,30.0,0.0,43.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,2015-08-30 07:12:50 UTC,2015-08-30 07:12:50 UTC
1676,18004,"
      [食品番号]食品群名/食品名：[18004] 調理加工食品類/コーンクリームスープ/粉末タイプ
    ",0.0,425.0,1778.0,2.1,8.1,0.0,13.7,0.0,67.4,8.7,2800.0,470.0,120.0,0.0,190.0,1.2,0.0,0.0,0.0,4.0,13.0,3.0,13.0,0.0,0.0,0.0,0.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.41,3.5,0.0,0.0,0.0,0.0,7.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,,2015-08-30 07:12:50 UTC,2015-08-30 07:12:50 UTC
1675,18003,"
      [食品番号]食品群名/食品名：[18003] 調理加工食品類/グラタン/えび、冷凍
    ",0.0,133.0,556.0,73.9,4.8,0.0,6.7,0.0,13.3,1.3,350.0,95.0,66.0,0.0,73.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,19.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,2015-08-30 07:12:49 UTC,2015-08-30 07:12:49 UTC
1674,18002,"
      [食品番号]食品群名/食品名：[18002] 調理加工食品類/ぎょうざ/冷凍
    ",0.0,197.0,824.0,59.3,7.1,5.8,8.1,7.2,23.8,1.7,490.0,200.0,30.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,13.0,0.0,0.2,0.0,0.8,0.0,0.0,0.09,0.1,0.8,0.0,0.0,0.0,0.0,0.0,6.0,2.22,3.18,1.44,17.0,0.0,0.0,0.0,1.2,,2015-08-30 07:12:48 UTC,2015-08-30 07:12:48 UTC
1673,18001,"
      [食品番号]食品群名/食品名：[18001] 調理加工食品類/カレー/ビーフ、レトルトパウチ
    ",0.0,118.0,494.0,77.9,3.3,0.0,7.3,0.0,9.8,1.7,510.0,160.0,20.0,0.0,43.0,1.1,0.0,0.0,0.0,370.0,4.0,4.0,4.0,8.0,0.0,0.0,0.0,180.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.4,0.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,,2015-08-30 07:12:48 UTC,2015-08-30 07:12:48 UTC
1672,17084,"
      [食品番号]食品群名/食品名：[17084] 調味料及び香辛料類/ベーキングパウダー
    ",0.0,127.0,531.0,4.5,0.0,0.0,1.2,0.0,29.0,41.8,6800.0,3900.0,2400.0,1.0,3700.0,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,,2015-08-30 07:12:47 UTC,2015-08-30 07:12:47 UTC
1671,17083,"
      [食品番号]食品群名/食品名：[17083] 調味料及び香辛料類/酵母/パン酵母、乾燥
    ",0.0,313.0,1310.0,8.7,37.1,0.0,6.8,4.7,43.1,4.3,120.0,1600.0,19.0,91.0,840.0,13.0,3.4,0.2,0.4,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,8.81,3.72,22.0,1.28,0.0,3800.0,5.73,309.7,1.0,0.79,3.71,0.04,0.0,2.5,30.1,32.6,0.3,,2015-08-30 07:12:46 UTC,2015-08-30 07:12:46 UTC
1670,17082,"
      [食品番号]食品群名/食品名：[17082] 調味料及び香辛料類/酵母/パン酵母、圧搾
    ",0.0,103.0,431.0,68.1,16.5,0.0,1.5,1.1,12.1,1.8,39.0,620.0,16.0,37.0,360.0,2.2,7.8,0.36,0.19,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.21,1.78,23.1,0.59,0.0,1900.0,2.29,0.0,0.0,0.19,0.84,0.01,0.0,0.8,9.5,10.3,0.1,,2015-08-30 07:12:45 UTC,2015-08-30 07:12:45 UTC
1669,17081,"
      [食品番号]食品群名/食品名：[17081] 調味料及び香辛料類/わさび/練り
    ",0.0,265.0,1109.0,39.8,3.3,0.0,10.3,0.0,39.8,6.8,2400.0,280.0,62.0,39.0,85.0,2.0,0.8,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,,2015-08-30 07:12:44 UTC,2015-08-30 07:12:44 UTC
1668,17080,"
      [食品番号]食品群名/食品名：[17080] 調味料及び香辛料類/わさび/粉、からし粉入り
    ",0.0,384.0,1607.0,4.9,16.5,0.0,4.4,0.0,69.7,4.5,30.0,1200.0,320.0,210.0,340.0,9.3,4.4,0.45,1.11,3.0,4.0,8.0,4.0,0.0,0.0,20.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3,2.5,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,2015-08-30 07:12:44 UTC,2015-08-30 07:12:44 UTC
1667,17079,"
      [食品番号]食品群名/食品名：[17079] 調味料及び香辛料類/パプリカ/粉
    ",0.0,389.0,1628.0,10.0,15.5,0.0,11.6,0.0,55.6,7.3,60.0,2700.0,170.0,220.0,320.0,21.1,10.3,1.08,1.0,17.0,10.0,33.0,13.0,0.0,0.0,5000.0,2100.0,6100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.78,12.5,0.0,0.0,0.0,0.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,2015-08-30 07:12:43 UTC,2015-08-30 07:12:43 UTC
1666,17078,"
      [食品番号]食品群名/食品名：[17078] 調味料及び香辛料類/パセリ/乾
    ",0.0,341.0,1427.0,5.0,28.7,0.0,2.2,0.0,51.6,12.5,880.0,3600.0,1300.0,380.0,460.0,17.5,3.6,0.97,6.63,22.0,7.0,38.0,110.0,0.0,0.0,28000.0,0.0,28000.0,2300.0,0.0,7.2,0.0,1.6,0.0,1300.0,0.89,2.02,11.7,1.47,0.0,1400.0,1.68,23.5,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,2015-08-30 07:12:42 UTC,2015-08-30 07:12:42 UTC
